id,name,matchedName,resultType,confidence,similarity,lat,lng,address,status
r22,Heritage Scoop - Plano,Heritage Scoop,amenity,1,1,33.2192849,-96.7727677,"Heritage Scoop, 2111 East University Drive, Frisco, TX 75078, United States of America",review
r43,New York Eats (Irving),New York Eats,amenity,1,1,32.7248925,-97.1132733,"New York Eats, 604 B Doug Russell Road, Arlington, TX 76010, United States of America",review
r59,Big Guy's Bodega - NYC Style Deli,Big Guys Bodega,amenity,1,0.667,32.8521281,-97.0665614,"Big Guys Bodega, 1001 East Harwood Road, Euless, TX 76039, United States of America",review
r123,Dessert Avenue - Murphy.,Dessert Avenue,amenity,1,1,33.0101971,-96.6174508,"Dessert Avenue, 208 Coolidge Street, Plano, TX 75094, United States of America",review
r127,Imperial Biryani - Richardson,Imperial Biryani & Cafe,amenity,1,0.667,32.9543106,-96.7275115,"Imperial Biryani & Cafe, 400 North Greenville Avenue, Richardson, TX 75081, United States of America",review
r182,Krispy Krunchy Chicken - HALAL (Plano),Krispy Krunchy Chicken,amenity,1,1,33.210733,-97.1470891,"Krispy Krunchy Chicken, 1155 Union Circle, Denton, TX 76203, United States of America",review
r195,Layne's Chicken Fingers- Lewisville,Layne's Chicken Fingers,amenity,1,1,33.0645572,-96.8888944,"Layne's Chicken Fingers, 4650 State Highway 121, The Colony, TX 75056, United States of America",review
r197,Layne's Chicken Fingers- Frisco,Layne's Chicken Figers,amenity,1,0.75,33.1733998,-96.838722,"Layne's Chicken Figers, 11440 Dallas Parkway, Frisco, TX 75034, United States of America",review
r233,𝟻𝟿 sʜᴀᴡᴀʀᴍᴀ & Juice,Base Smoothies + Juice,amenity,1,0.5,33.1729301,-96.7335037,"Base Smoothies + Juice, 11625 Custer Road, Frisco, TX 75072, United States of America",review
r253,Napoli's Pizza,Napolis Pizza,amenity,1,0.5,33.0162948,-96.5319795,"Napolis Pizza, North State Highway 78, Wylie, TX 75098, United States of America",review
r262,Shawarma Press - Arlington,Shawarma Press,amenity,1,1,32.7872417,-96.798571,"Shawarma Press, Ross Avenue, Dallas, TX 75201, United States of America",review
r281,Cafe Acai,Cafe Açaí,amenity,1,0.5,33.1539202,-96.8039175,"Cafe Açaí, 9133 Preston Road, Frisco, TX 75035, United States of America",review
r373,N.Y Pizzeria,Enzo's NY Pizzeria,amenity,1,0.333,33.038401,-97.051321,"Enzo's NY Pizzeria, Flower Mound, TX 75028, United States of America",review
r406,Zio Al's Pizza & Pasta - Carrollton,Zio Al’s Pizza & Pasta,amenity,1,1,32.949964,-96.7328811,"Zio Al’s Pizza & Pasta, 150 West Main Street, Richardson, TX 75081, United States of America",review
r411,Jimmy's Big Burgers,Jimmy's Big Burger,amenity,1,0.75,33.0147244,-96.6638198,"Jimmy's Big Burger, 3611 14th Street, Plano, TX 75082, United States of America",review
r420,Swamp Cafe,Swamp Café,amenity,1,0.5,32.990573,-96.8314692,"Swamp Café, 104 Trinity Mills Road, Dallas, TX 75287, United States of America",review
r440,Desi District - Grocery (Irving),Desi District,amenity,1,1,33.1753318,-96.7651192,"Desi District, 12990 Eldorado Parkway, Frisco, TX 75035, United States of America",review
r545,Trolley Stop Cafe,Trolley Stop Café,amenity,1,0.667,32.7843166,-96.7978323,"Trolley Stop Café, 400 North Saint Paul Street, Dallas, TX 75201, United States of America",review
r572,Zio Al's Pizza & Pasta - Addison,Zio Al’s Pizza & Pasta,amenity,1,1,32.949964,-96.7328811,"Zio Al’s Pizza & Pasta, 150 West Main Street, Richardson, TX 75081, United States of America",review
r585,"Desi District - McKinney, TX",Desi District,amenity,1,1,33.1753318,-96.7651192,"Desi District, 12990 Eldorado Parkway, Frisco, TX 75035, United States of America",review
r590,Shawarma Press - Plano,Shawarma Press,amenity,0.9,1,32.7872417,-96.798571,"Shawarma Press, Ross Avenue, Dallas, TX 75201, United States of America",review
r10,Delucca Gaucho Pizza & Wine Plano,Delucca Gaucho Pizza & Wine,amenity,0.833,1,33.0907549,-96.8048315,"Delucca Gaucho Pizza & Wine, 8240 Preston Road, Plano, TX 75024, United States of America",review
r318,Delucca Gaucho Pizza & Wine Southlake,Delucca Gaucho Pizza & Wine,amenity,0.833,1,33.090755,-96.804832,"Delucca Gaucho Pizza & Wine, Plano, TX 75024, United States of America",review
r471,Zio Al's Pizza & Pasta Plano - Frisco,Zio Al's Pizza & Pasta,amenity,0.833,1,33.007248,-96.7957977,"Zio Al's Pizza & Pasta, 19009 Preston Road, Dallas, TX 75252, United States of America",review
r106,Prime Doner Restaurant,PRIME Restaurant Doner & Cagkebab,amenity,0.81,1,33.0196178,-96.7124182,"PRIME Restaurant Doner & Cagkebab, 601 West 15th Street, Plano, TX 75075, United States of America",review
r467,Thai Lao Express,Saplai Lao & Thai Express,amenity,0.81,1,32.8433649,-97.1003437,"Saplai Lao & Thai Express, 505 North Industrial Boulevard, Bedford, TX 76021, United States of America",review
r350,Sal's Nashville Hot Chicken - Plano,Ricky's Nashville Hot Chicken,amenity,0.771,0.8,33.092165,-96.804956,"Ricky's Nashville Hot Chicken, Plano, TX 75024, United States of America",review
